제품번호,물품대분류,상품명,물품판매량,제품단가
P100197,FC,좋은느낌라이너 유기농순면 롱 팬티라이너 36개입 (EA),27,7000
P100198,FC,좋은느낌라이너 유기농순면 롱 팬티라이너 36개입 X 2 (EA),44,8836
P100199,FC,화이트 스타일핏 수퍼울트라 날개 대형 16입,25,8968
P100200,FC,화이트 스타일핏 수퍼울트라 날개 중형 18개입,13,8169
P100201,FC,화이트 시크릿홀 가든프레시뉴 울트라 날개 대형 16개입,30,10260
P100202,FC,화이트 시크릿홀 가든프레시뉴 울트라 날개 중형 18개입,20,9690
P100203,FC,화이트 시크릿홀 맥시슬림 수퍼롱 오버나이트 10개입,62,8867
P100204,FC,화이트 시크릿홀 맥시슬림 수퍼롱 오버나이트 10개입 (EA),19,7926
P100205,FC,화이트 시크릿홀 맥시슬림 수퍼롱 오버나이트 10개입 X3,4,44100
P100206,FC,화이트 시크릿홀 수퍼롱 10개입,88,10019
P100207,FC,화이트 시크릿홀 울트라 날개 대형 17개입,47,11936
P100208,FC,화이트 시크릿홀 울트라 날개 중형 19개입,137,10407
P100209,FC,화이트 시크릿홀 울트라슬림 날개 대형 17개입,50,8250
P100210,FC,화이트 시크릿홀 울트라슬림 날개 대형 17개입 (EA),9,6050
P100211,FC,화이트 시크릿홀 울트라슬림 날개 대형 17개입 X3,1,50400
P100212,FC,화이트 시크릿홀 울트라슬림 날개 중형 19개입,82,9630
P100213,FC,화이트 시크릿홀 울트라슬림 날개 중형 19개입 (EA),21,5679
P100214,FC,화이트 시크릿홀 울트라슬림 날개 중형 19개입 X3,3,42000
P100215,FC,화이트 시크릿홀 울트라슬림 날개 중형 19개입+울트라슬림 날개 대형 17개입+맥시슬림 수퍼롱 오버나이트 10개입,2,25200
P100216,FC,화이트 에코프레시 맥시슬림 날개 대형 14개입,31,10858
P100217,FC,화이트 에코프레시 맥시슬림 날개 대형 14개입 (EA),3,9900
P100218,FC,화이트 에코프레시 맥시슬림 날개 대형 14개입 X4,8,26400
P100219,FC,화이트 에코프레시 맥시슬림 날개 중형 16개입,22,12600
P100220,FC,화이트 에코프레시 맥시슬림 날개 중형 16개입 (EA),4,8910
P100221,FC,화이트 에코프레시 맥시슬림 날개 중형 16개입 X4,9,29333
P100222,FC,화이트 에코프레시 맥시슬림 슈퍼롱 오버나이트 8개입,34,9382
P100223,FC,화이트 에코프레시 맥시슬림 슈퍼롱 오버나이트 8개입 (EA),5,5940
P100224,FC,화이트 에코프레시 맥시슬림 슈퍼롱 오버나이트 8개입 X3,5,16500
P100225,FC,화이트 에코프레시 맥시슬림 슈퍼롱 오버나이트 8개입 X4,12,22000
P100226,FC,화이트 에코프레시 슈퍼롱 오버나이트 8개입,80,9419
P100227,FC,화이트 에코프레시 울트라슬림 날개 대형 16개입,71,10318
P100228,FC,화이트 에코프레시 울트라슬림 날개 대형 16개입 (EA),2,5940
P100229,FC,화이트 에코프레시 울트라슬림 날개 대형 16개입 X3,5,19800
P100230,FC,화이트 에코프레시 울트라슬림 날개 대형 16개입 X4,23,28696
P100231,FC,화이트 에코프레시 울트라슬림 날개 중형 18개입,94,11234
P100232,FC,화이트 에코프레시 울트라슬림 날개 중형 18개입 (EA),8,7425
P100233,FC,화이트 에코프레시 울트라슬림 날개 중형 18개입 X3,26,24369
P100234,FC,화이트 에코프레시 울트라슬림 날개 중형 18개입 X4,21,26400
P100235,FC,화이트 에코프레시 팬티라이너 롱 44개입 (EA),30,6264
P100236,FC,화이트 에코프레시 팬티라이너 롱 44개입 X4,18,24489
P100237,FC,화이트 에코프레시？팬티라이너 롱 44개입,76,10303
P100238,FC,화이트 입는 오버나이트 대형 8개입,41,15576
P100239,FC,화이트 입는 오버나이트 대형 L 8개입,62,16481
P100240,FC,화이트 입는 오버나이트 대형 L 8개입 (EA),5,11124
P100241,FC,화이트 입는 오버나이트 대형 L 8개입 X2,4,25750
P100242,FC,화이트 입는 오버나이트 중형 8개입,28,15082
P100243,FC,화이트 입는 오버나이트 중형 M 8개입,36,17167
P100244,FC,화이트 입는 오버나이트 중형 M 8개입 (EA),16,12746
P100245,FC,화이트 입는 오버나이트 중형 M 8개입 X2,4,30900
P100246,FC,화이트 클린 울트라슬림 날개 대형 17개입,6,7250
P100247,FC,화이트 클린 울트라슬림 날개 중형 19개입,12,6767
P100248,FC,화이트 탐폰 레귤러 16개입,50,10143
P100249,FC,화이트 탐폰 슈퍼 16개입,53,11233
P100250,FC,화이트 탐폰 오가닉 레귤러 14개입,6,14000
P100251,FC,화이트 탐폰 오가닉 슈퍼 14개입,6,14000
P100252,FC,화이트 한듯안한듯 팬티라이너 롱 36개입,28,6750
P100253,FC,화이트 한듯안한듯 팬티라이너 롱 36개입 (EA),11,5523
P100254,FC,화이트 한듯안한듯 팬티라이너 롱 36개입 X3,3,19500
P100255,FMC,(1+1) 크리넥스 버블버블 핸드워시 그린향 거품펌프형 250ml + 용기형리필 250ml X 2,30,0
P100256,FMC,(1+1) 크리넥스 버블버블 핸드워시 상큼향 거품펌프형 250ml + 용기형리필 250ml X 2,17,0
P100257,FMC,(핫딜위크/1+1) 스카트 주방 위생 세트,12,0
P100258,FMC,(핫딜위크/1+1) 크리넥스 칼로리라이트 키친타월 55매 X 3롤,6,0
P100259,FMC,[1+1] 스카트 항균 프레쉬블루 빨아쓰는 행주타월 45매 X 4롤,30,24800
P100260,FMC,[1+1] 크리넥스 데코앤소프트 클래식 27-30롤,53,39177
P100261,FMC,[1+1] 크리넥스 마이비데 46매 X 10팩,27,36600
P100262,FMC,[1+1] 크리넥스 버블버블 핸드워시 그린향 거품펌프형 250ml + 용기형리필 250ml X 2,27,0
P100263,FMC,[1+1] 크리넥스 버블버블 핸드워시 상큼향 거품펌프형 250ml + 용기형리필 250ml X 2,16,0
P100264,FMC,[1+1] 크리넥스 순수 3겹 소프트 27m-30롤,64,32794
P100265,FMC,[1+1] 크리넥스 울트라클린 27M 30롤,7,35820
P100266,FMC,[2020년 2월 신제품] 크리넥스 KF94 데일리 방역 마스크 블랙 17P,69,16900
P100267,FMC,[2020년 2월 신제품] 크리넥스 KF94 데일리 방역 마스크 화이트 대형 1P X2,88,11455
P100268,FMC,[2020년 2월 신제품] 크리넥스 카카오 프렌즈 건강마스크 성인 중형 (5P),31,13548
P100269,FMC,[2020년 2월 신제품] 크리넥스 카카오 프렌즈 입체마스크 3D 베이비용 (3개입),209,10760
P100270,FMC,[2020년 2월 신제품] 크리넥스 카카오 프렌즈 입체마스크 3D 어린이 (3개입),72,11000
P100271,FMC,[2020년 2월 신제품] 크리넥스 황사마스크 뉴디자인플러스 소형 1P X2,23,12522
P100272,FMC,[2020년 3월 신제품] 크리넥스 KF94 데일리 방역 마스크 화이트 대형 17P,14,12900
P100273,FMC,[2020년 3월 신제품] 크리넥스 가습 촉촉 마스크 뉴 대형 2P,10,14700
P100274,FMC,[2020년 3월 신제품] 크리넥스 스타일 마스크 블랙 대형 3P,6,9500
