순번,생산라인코드,생산라인명,생산일자,발생시간,종료시간,오류조치시간,비가동코드,Error_Message,품목코드,품목명,오류발생작업장명
1,D087,냉동밥 내포장#2,2025-04-27,1:30,2:30,60,W0054F1,품목 교체,1BA03174,통새우볶음밥(노브랜드),충전실
19,C088,냉동밥 취반#1,2025-05-02,1:10,2:10,60,W0034B1,품목 교체,2BA03074,CJ햄야채볶음밥3kg(재),쿠킹실
16,C088,냉동밥 취반#1,2025-05-02,8:10,9:20,70,W0034B1,품목 교체,2BA03066,CJ새우볶음밥(재),쿠킹실
26,C088,냉동밥 취반#1,2025-05-03,1:30,2:30,60,W0034B1,품목 교체,2BA03268,요리하다오삼불고기볶음밥(재),쿠킹실
32,D088,냉동밥 내포장#1,2025-05-03,14:10,14:38,28,W005722,공정,1BA03319,하남돼지집김치볶음밥,충전실
19,D087,냉동밥 내포장#2,2025-05-04,11:15,11:26,11,W005722,공정,1BA03213,AAF불곱창깍두기볶음밥250g(알밥)*,충전실
13,C088,냉동밥 취반#1,2025-05-04,21:10,21:30,20,W003721,충진 미종료,2BA03158,비비고불고기비빔밥200g(재),쿠킹실
12,C088,냉동밥 취반#1,2025-05-09,15:15,16:15,60,W0034B1,품목 교체,2BA03065,CJ햄야채볶음밥(재),쿠킹실
2,D087,냉동밥 내포장#2,2025-05-09,12:18,13:10,52,W0054F1,품목 교체,1BA03157,비비고낙지비빔밥200g,충전실
13,C088,냉동밥 취반#1,2025-06-02,4:35,5:00,25,W003721,충진 미종료,2BA03309,짬뽕볶음밥E(재),쿠킹실
15,D088,냉동밥 내포장#1,2025-06-05,17:30,19:10,100,W0054F1,품목 교체,1BA03094,비비고곤드레밥200g,충전실
23,D087,냉동밥 내포장#2,2025-06-13,22:30,23:29,59,W005722,공정,1BA03365,NEW비비고새우볶음밥210g(알밥),충전실
12,D087,냉동밥 내포장#2,2025-06-15,21:00,0:40,-1220,W005722,공정,1BA03157,비비고낙지비빔밥200g,충전실
14,C088,냉동밥 취반#1,2025-06-20,18:15,19:15,60,W0034B1,품목 교체,2BA03069,CJ낙지볶음밥(재),쿠킹실
1,D088,냉동밥 내포장#1,2025-06-20,7:30,8:10,40,W0054F1,품목 교체,1BA03082,햄야채볶음밥3kg,충전실
16,D088,냉동밥 내포장#1,2025-06-20,19:29,20:20,51,W005722,공정,1BA03069,CJ낙지볶음밥*5ea,충전실
14,D087,냉동밥 내포장#2,2025-06-22,12:57,13:40,43,W0054F2,세부 세척,1BA03293,AAF불곱창깍두기볶음밥(미니팩),충전실
5,D088,냉동밥 내포장#1,2025-06-21,9:34,10:33,59,W005722,공정,1BA10028,쟌슨빌소시지볶음밥,충전실
12,D088,냉동밥 내포장#1,2025-06-22,17:18,18:00,42,W0054F1,품목 교체,1BA03342,장조림버터밥(롯데),충전실
15,D088,냉동밥 내포장#1,2025-06-22,18:00,19:10,70,W005722,공정,1BA03342,장조림버터밥(롯데),충전실
3,C088,냉동밥 취반#1,2025-06-25,10:10,10:20,10,W0034B1,품목 교체,2BA03119,홍익돈까스 야채볶음밥(재),쿠킹실
2,D088,냉동밥 내포장#1,2025-06-26,6:45,8:30,105,W0054F1,품목 교체,1BA03174,통새우볶음밥(노브랜드),충전실
3,C088,냉동밥 취반#1,2025-06-28,11:00,11:40,40,W003711,기타,2BA03159,비비고깍두기볶음밥200g(재),쿠킹실
16,C087,냉동밥 취반#2,2025-07-04,0:00,1:00,60,W0034B1,품목 교체,2BA03201,비비고닭가슴살볶음밥210g(알밥)(재),쿠킹실
2,D088,냉동밥 내포장#1,2025-07-03,10:23,11:41,78,W0054F1,품목 교체,1BA03368,치즈스테이크볶음밥,충전실
22,C088,냉동밥 취반#1,2025-07-05,7:10,7:45,35,W003721,충진 미종료,2BA03159,비비고깍두기볶음밥200g(재),쿠킹실
18,C088,냉동밥 취반#1,2025-07-11,5:30,6:30,60,W0034B1,품목 교체,2BA03064,CJ해물볶음밥(재),쿠킹실
19,D088,냉동밥 내포장#1,2025-07-11,6:02,7:40,98,W0054F1,품목 교체,1BA03064,CJ해물볶음밥*5ea,충전실
6,D087,냉동밥 내포장#2,2025-07-11,10:53,11:45,52,W0054F2,세부 세척,1BA03301,비비고불고기비빔밥/알밥(롯데),충전실
12,D087,냉동밥 내포장#2,2025-07-12,5:20,6:40,80,W0054F1,품목 교체,1BA03301,비비고불고기비빔밥/알밥(롯데),충전실
7,D088,냉동밥 내포장#1,2025-07-16,20:06,21:17,71,W0054F1,품목 교체,1BA03214,닭가슴살볶음밥(노브랜드),충전실
9,D088,냉동밥 내포장#1,2025-07-17,1:40,3:24,104,W0054F1,품목 교체,1BA03119,홍익돈까스 야채볶음밥,충전실
11,D088,냉동밥 내포장#1,2025-07-17,19:23,20:01,38,W005722,공정,1BA03181,불고기맛볶음밥250g-QKC,충전실
16,D087,냉동밥 내포장#2,2025-07-20,1:35,3:15,100,W0054F1,품목 교체,1BA03201,비비고닭가슴살볶음밥210g(알밥),충전실
15,D088,냉동밥 내포장#1,2025-07-19,21:59,23:43,104,W0054F1,품목 교체,1BA03175,매콤낙지볶음밥(노브랜드),충전실
17,D088,냉동밥 내포장#1,2025-07-20,2:58,4:56,118,W0054F1,품목 교체,1BA03159,비비고깍두기볶음밥200g,충전실
1,D087,냉동밥 내포장#2,2025-08-08,3:34,4:40,66,W0054F2,세부 세척,1BA03213,AAF불곱창깍두기볶음밥250g(알밥)*,충전실
2,D087,냉동밥 내포장#2,2025-08-08,4:40,5:28,48,W005722,공정,1BA03213,AAF불곱창깍두기볶음밥250g(알밥)*,충전실
15,C088,냉동밥 취반#1,2025-08-11,3:00,4:00,60,W0034B1,품목 교체,2BA03114,오늘은!새우볶음밥(재),쿠킹실
14,D087,냉동밥 내포장#2,2025-08-21,0:34,1:45,71,W0054F2,세부 세척,1BA03158,비비고불고기비빔밥200g,충전실
6,D087,냉동밥 내포장#2,2025-08-23,14:40,16:20,100,W0054F2,세부 세척,1BA03365,NEW비비고새우볶음밥210g(알밥),충전실
2,D088,냉동밥 내포장#1,2025-08-23,10:44,11:47,63,W005722,공정,1BA03381,AAF곤드레나물밥(알밥)-NEW,충전실
11,D088,냉동밥 내포장#1,2025-08-24,6:53,8:27,94,W0054F2,세부 세척,1BA03379,닭가슴살볶음밥(노브랜드)/7개입,충전실
17,D088,냉동밥 내포장#1,2025-08-25,0:28,2:30,122,W0054F1,품목 교체,1BA03368,치즈스테이크볶음밥,충전실
5,D088,냉동밥 내포장#1,2025-08-29,16:34,18:21,107,W0054F1,품목 교체,1BA03378,매콤낙지볶음밥(노브랜드)/7개입,충전실
24,D088,냉동밥 내포장#1,2025-08-30,23:29,0:10,41,W0054F2,세부 세척,1BA03159,비비고깍두기볶음밥200g,충전실
11,D087,냉동밥 내포장#2,2025-09-04,17:00,18:40,100,W0054F2,세부 세척,1BA03377,통새우볶음밥(노브랜드)/7개입,충전실
9,D087,냉동밥 내포장#2,2025-09-05,19:20,20:46,86,W0054F2,세부 세척,1BA03157,비비고낙지비빔밥200g,충전실
8,D088,냉동밥 내포장#1,2025-09-07,19:56,20:23,27,W0054F1,품목 교체,1BA03216,AAF게살새우볶음밥(알밥)*,충전실
1,D088,냉동밥 내포장#1,2025-09-08,0:18,1:32,74,W005722,공정,1BA03300,쟌슨빌소시지볶음밥(알밥),충전실
12,C088,냉동밥 취반#1,2025-09-11,19:50,20:50,60,W0034B1,품목 교체,2BA03066,CJ새우볶음밥(재),쿠킹실
10,D087,냉동밥 내포장#2,2025-09-12,14:21,15:10,49,W005422,설비,1BA03365,NEW비비고새우볶음밥210g(알밥),충전실
17,D088,냉동밥 내포장#1,2025-09-12,21:42,23:27,105,W0054F1,품목 교체,1BA03368,치즈스테이크볶음밥,충전실
16,D088,냉동밥 내포장#1,2025-09-14,7:22,9:01,99,W0054F1,품목 교체,1BA03381,AAF곤드레나물밥(알밥)-NEW,충전실
7,D087,냉동밥 내포장#2,2025-09-19,17:04,19:41,157,W0054F1,품목 교체,1BA03158,비비고불고기비빔밥200g,충전실
2,D088,냉동밥 내포장#1,2025-09-19,10:20,11:20,60,W0054F1,품목 교체,1BA03381,AAF곤드레나물밥(알밥)-NEW,충전실
4,D088,냉동밥 내포장#1,2025-10-25,7:36,9:18,102,W0054F1,품목 교체,1BA03049,김치볶음밥-S,충전실
6,D088,냉동밥 내포장#1,2025-10-25,13:38,15:27,109,W0054F1,품목 교체,1BA03224,낙지쭈꾸미볶음밥,충전실
10,D088,냉동밥 내포장#1,2025-11-06,21:30,23:13,103,W0054F1,품목 교체,1BA03385,한입밥용냉동밥,충전실
